,url
206,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=842214&classe=ARE-RG
207,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=919285&classe=ARE-RG
208,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=910351&classe=ARE-RG
209,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=922144&classe=RE-RG
210,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=911161&classe=ARE-RG
211,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=736090&classe=RE-RG
212,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=905357&classe=RE-RG
213,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=907209&classe=ARE-RG
214,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=678162&classe=RE-RG
215,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=901623&classe=ARE-RG
216,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=780152&classe=ARE-RG
217,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=914045&classe=ARE-RG
218,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=806339&classe=RE-RG
219,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=906491&classe=ARE-RG
220,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=743485&classe=ARE-RG
221,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=903171&classe=ARE-RG
222,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=906569&classe=ARE-RG
223,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=643978&classe=RE-RG
224,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=901963&classe=ARE-RG
225,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=738481&classe=RE-RG
226,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=900968&classe=ARE-RG
227,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=887671&classe=RE-RG
228,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=878313&classe=RE-RG
229,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=824781&classe=ARE-RG
230,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=848826&classe=RE-RG
231,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=662055&classe=RE-RG
232,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=817338&classe=RE-RG
233,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=898450&classe=RE-RG
234,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=835818&classe=RE-RG
235,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=855649&classe=RE-RG
236,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=679137&classe=ARE-RG
237,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=398365&classe=RE-RG
238,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=683621&classe=RE-RG
239,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=865401&classe=RE-RG
240,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=852796&classe=RE-RG
241,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=892961&classe=RE-RG
242,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=889173&classe=RE-RG
243,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=838284&classe=RE-RG
244,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=884325&classe=ARE-RG
245,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=782749&classe=ARE-RG
246,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=891653&classe=ARE-RG
247,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=851108&classe=RE-RG
248,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=883642&classe=RE-RG
249,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=888938&classe=ARE-RG
250,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=842157&classe=ARE-RG
251,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=888815&classe=RE-RG
252,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=860508&classe=RE-RG
253,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=881502&classe=RE-RG
254,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=858075&classe=RE-RG
255,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=851421&classe=RE-RG
256,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=882461&classe=RE-RG
257,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=751526&classe=RE-RG
258,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=876982&classe=ARE-RG
259,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=881383&classe=ARE-RG
260,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=665632&classe=ARE-RG
261,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=870947&classe=RE-RG
262,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=859251&classe=ARE-RG
263,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=865645&classe=ARE-RG
264,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=855091&classe=RE-RG
265,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=878694&classe=RE-RG
266,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=868457&classe=ARE-RG
267,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=867326&classe=ARE-RG
268,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=870776&classe=ARE-RG
269,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=871499&classe=ARE-RG
